time_index,X,Y,Z,R,G,B,time
0359,62.65607198,184.72563362,7.97211130,0,250,250,03:59
0400,60.09624796,185.03161820,7.96225656,0,250,250,04:00
0401,57.36964448,185.31718636,7.93980714,0,250,250,04:01
0402,54.69137192,185.71662712,7.93396912,0,250,250,04:02
0403,52.08638973,185.98129273,7.93855596,0,250,250,04:03
0404,49.23663203,186.02057309,7.93610989,0,250,250,04:04
0405,46.49655151,185.90583038,7.92996383,0,250,250,04:05
0406,44.30821609,185.29020413,7.92658281,0,250,250,04:06
0407,41.93586044,184.48817291,7.96978493,0,250,250,04:07
0408,39.36379607,183.79450099,7.97843478,0,250,250,04:08
0409,36.87313513,183.04855416,7.96100627,0,250,250,04:09
0410,34.42063443,182.43251419,7.95548521,0,250,250,04:10
0411,31.82596250,181.96875624,7.94864173,0,250,250,04:11
0412,29.15912447,181.78029233,7.90439408,0,250,250,04:12
0413,26.23490830,181.70775147,7.93287251,0,250,250,04:13
0414,23.47595529,181.66705681,7.94799920,0,250,250,04:14
0415,20.73454984,181.70438703,7.94280120,0,250,250,04:15
0416,17.90985141,181.80055237,7.89377221,0,250,250,04:16
0417,15.06077168,182.01158905,7.92807746,0,250,250,04:17
0418,12.19353151,182.30798848,7.92172466,0,250,250,04:18
0419,9.64934630,182.37451850,7.89430647,0,250,250,04:19
0420,6.76781380,182.53581597,7.89788442,0,250,250,04:20
0421,3.90845944,182.86420320,7.88854767,0,250,250,04:21
0422,1.51190305,182.92166328,7.89349562,0,250,250,04:22
0423,-1.37886487,182.86540105,7.84523179,0,250,250,04:23
0424,-4.39594914,182.83290100,7.84633297,0,250,250,04:24
0425,-7.11193969,182.95411428,7.87929938,0,250,250,04:25
0426,-9.85810631,182.90361264,7.88514722,0,250,250,04:26
0427,-12.77103787,182.76642500,7.96516866,0,250,250,04:27
0428,-15.40864754,182.74737625,7.99416432,0,250,250,04:28
0429,-18.45283589,182.69819240,8.10287867,0,250,250,04:29
0430,-21.02897922,182.32305400,8.13906499,0,250,250,04:30
0431,-23.43205889,181.53996595,8.17844069,0,250,250,04:31
0432,-25.71841240,180.06760089,8.18257558,0,250,250,04:32
0433,-27.43562142,178.03568586,8.26983595,0,250,250,04:33
0434,-28.56114165,175.57026927,8.45969641,0,250,250,04:34
0435,-29.18175157,172.94241524,8.54780507,0,250,250,04:35
0436,-29.59982913,170.27200516,8.54592290,0,250,250,04:36
0437,-29.96708647,167.63671748,8.55766797,0,250,250,04:37
0438,-30.09434907,165.00916854,8.58089804,0,250,250,04:38
0439,-29.91717009,162.50237274,8.60824269,0,250,250,04:39
0440,-29.71062946,160.01728566,8.62847988,0,250,250,04:40
0441,-29.50124947,157.50479635,8.66971739,0,250,250,04:41
0442,-29.41503414,154.89403407,8.68826985,0,250,250,04:42
0443,-29.22616498,152.37676048,8.71497214,0,250,250,04:43
0444,-28.76774629,149.70831744,8.71189141,0,250,250,04:44
0445,-28.07277480,147.26267659,8.74342632,0,250,250,04:45
0446,-28.25692760,147.29159885,8.70176262,0,250,250,04:46
0447,-26.86270038,145.97150167,8.63506464,0,250,250,04:47
0448,-25.41652671,145.03381878,8.54591801,0,250,250,04:48
0449,-23.53354784,144.18486786,8.50727736,0,250,250,04:49
0450,-20.82272765,143.25305265,8.47467591,0,250,250,04:50
0451,-18.08703359,142.49850667,8.42961006,0,250,250,04:51
0452,-15.00796597,141.71850821,8.34455299,0,250,250,04:52
0453,-13.63168604,141.79222939,8.28828274,0,250,250,04:53
0454,-9.14476497,141.24497768,8.21338524,0,250,250,04:54
0455,-3.33945009,141.30788506,7.89361710,0,250,250,04:55
0456,1.31493003,140.78262111,7.96870708,0,250,250,04:56
0457,4.57476837,140.95925522,7.95739317,0,250,250,04:57
0458,7.61244053,141.05431959,7.93897565,0,250,250,04:58
0459,10.80944431,141.01984978,7.92201281,0,250,250,04:59
0502,18.02721882,138.53299714,8.41190529,0,250,250,05:02
0503,19.93910233,138.15302277,7.70690040,0,250,250,05:03
0504,24.39116923,138.82682461,8.22557301,0,250,250,05:04
0505,29.66890567,139.07747868,8.24003621,0,250,250,05:05
0506,33.32408524,139.31290245,8.29606479,0,250,250,05:06
0507,36.13645614,139.56774180,8.38511999,0,250,250,05:07
0508,38.86652756,139.86344749,8.43557880,0,250,250,05:08
0509,41.64862166,140.14692519,8.51249552,0,250,250,05:09
0510,44.40316885,140.53371295,8.61721387,0,250,250,05:10
0511,46.93594805,140.84476556,8.69943698,0,250,250,05:11
0512,49.67438440,141.10493020,8.74399909,0,250,250,05:12
0513,52.20720073,141.25399998,8.75754765,0,250,250,05:13
0514,54.17159568,140.99634128,8.40134753,0,250,250,05:14
0515,55.75417116,140.12405395,8.52649477,0,250,250,05:15
0516,56.86315155,139.04161072,8.40108408,0,250,250,05:16
0517,59.18000963,138.35014174,8.08218664,0,250,250,05:17
0518,61.32044188,138.55556870,8.37977942,0,250,250,05:18
0519,63.70566806,138.40973888,8.45698890,0,250,250,05:19
0520,66.20959168,137.73464966,8.42260469,0,250,250,05:20
0521,68.38594389,136.61914444,8.60249525,0,250,250,05:21
0522,70.39015503,135.41201274,8.83007743,0,250,250,05:22
0523,72.65541664,134.83450317,8.80493281,0,250,250,05:23
0524,75.12368393,134.60955811,8.83670959,0,250,250,05:24
0528,79.33209992,130.98713684,8.88344383,0,250,250,05:28
0529,81.57138933,132.58059366,8.64188821,0,250,250,05:29
0530,83.75300941,134.58578415,8.62222862,0,250,250,05:30
0531,86.78509674,137.23448944,8.64511643,0,250,250,05:31
0532,88.98353729,139.45340271,8.89827118,0,250,250,05:32
